Date,Open,High,Low,Close,Adj Close,Volume
2008-05-16,109.510002,109.650002,108.089996,109.160004,76.569153,1778900
2008-05-19,108.980003,110.599998,108.500000,109.940002,77.116280,1726200
2008-05-20,109.629997,109.970001,108.330002,109.089996,76.520042,1489700
2008-05-21,109.080002,109.989998,106.820000,106.949997,75.018990,1496600
2008-05-22,106.889999,107.699997,106.599998,107.089996,75.117157,1173300
2008-05-23,107.250000,108.669998,106.949997,107.419998,75.348648,1331100
2008-05-27,107.269997,108.430000,106.790001,107.349998,75.299553,998800
2008-05-28,107.290001,108.209999,106.940002,107.690002,75.538025,1639400
2008-05-29,107.699997,108.910004,106.320000,108.610001,76.481659,1921700
2008-05-30,108.720001,109.879997,108.419998,109.440002,77.066124,1804100
2008-06-02,109.230003,109.870003,108.089996,109.160004,76.868973,1755200
2008-06-03,109.750000,109.750000,107.290001,107.830002,75.932381,2360300
2008-06-04,107.320000,109.089996,107.320000,108.489998,76.397125,1696100
2008-06-05,108.459999,108.489998,106.529999,107.669998,75.819725,2505000
2008-06-06,106.980003,106.980003,103.699997,103.750000,73.059303,3129900
2008-06-09,104.379997,104.379997,101.750000,102.650002,72.284691,2801800
2008-06-10,102.120003,104.050003,101.669998,102.980003,72.517105,1921000
2008-06-11,102.559998,103.970001,102.470001,102.690002,72.312874,1794500
2008-06-12,102.989998,105.370003,102.690002,102.790001,72.383286,1963000
2008-06-13,103.500000,104.120003,102.760002,104.070000,73.284637,1962000
2008-06-16,102.400002,103.790001,102.309998,102.550003,72.214302,1949100
2008-06-17,102.550003,103.400002,101.389999,101.589996,71.538246,1437400
2008-06-18,101.150002,102.440002,100.720001,100.959999,71.094620,1456900
2008-06-19,101.440002,103.910004,100.750000,103.339996,72.770576,1829300
2008-06-20,102.980003,103.339996,101.239998,102.070000,71.876251,2148400
2008-06-23,102.699997,104.339996,102.040001,104.129997,73.326881,2122400
2008-06-24,103.550003,104.839996,103.550003,103.940002,73.193108,1844500
2008-06-25,104.120003,105.000000,103.699997,103.830002,73.115623,2661800
2008-06-26,103.239998,103.610001,99.500000,99.500000,70.066513,2699800
2008-06-27,99.800003,100.769997,99.370003,99.620003,70.151031,3265600
2008-06-30,99.650002,99.750000,97.800003,98.660004,69.474983,3720500
2008-07-01,99.019997,101.489998,98.910004,101.089996,71.186157,2881100
2008-07-02,101.550003,102.279999,100.070000,100.300003,70.629875,1956100
